Well,DEPTH,DT,DEN,NEU,PHIE,GR,Facies,Core_Perm,Core_POR,Zone
42/13a-A5Z,11688,53.59999847,2.576800108,0.155000001,-999.25,75.52899933,-999.25,-999.25,-999.25,0
42/13a-A5Z,11688.5,53.59999847,2.425600052,0.177699998,-999.25,90.87010193,-999.25,-999.25,-999.25,0
42/13a-A5Z,11689,69.59999847,2.355700016,0.211400002,0.0001,113.0330963,-999.25,-999.25,-999.25,0
42/13a-A5Z,11689.5,69.59999847,2.403899908,0.266299993,0.0001,154.1732025,-999.25,-999.25,-999.25,0
42/13a-A5Z,11690,69.12000275,2.579400063,0.327199996,0.0001,207.402298,-999.25,-999.25,-999.25,0
42/13a-A5Z,11690.5,68.63999939,2.674099922,0.361499995,0.0001,222.1062927,-999.25,-999.25,-999.25,0
42/13a-A5Z,11691,68.16000366,2.703500032,0.380899996,0.0001,230.5666046,-999.25,-999.25,-999.25,0
42/13a-A5Z,11691.5,67.68000031,2.685100079,0.373199999,0.0001,222.4078064,-999.25,-999.25,-999.25,0
42/13a-A5Z,11692,67.19999695,2.708100081,0.371499986,0.0001,189.7326965,-999.25,-999.25,-999.25,0
42/13a-A5Z,11692.5,67.19999695,2.723500013,0.34709999,0.0001,143.3112946,-999.25,-999.25,-999.25,0
42/13a-A5Z,11693,67.19999695,2.749599934,0.336499989,0.0001,135.0084992,-999.25,-999.25,-999.25,0
42/13a-A5Z,11693.5,64,2.729599953,0.328399986,0.0038,122.7723999,-999.25,-999.25,-999.25,0
42/13a-A5Z,11694,64.80000305,2.700599909,0.322299987,0.0035,123.3844986,-999.25,-999.25,-999.25,0
42/13a-A5Z,11694.5,64.80000305,2.665699959,0.306100011,0.0043,121.9432983,-999.25,-999.25,-999.25,0
42/13a-A5Z,11695,65.59999847,2.670599937,0.295899987,0.0053,120.3238983,-999.25,-999.25,-999.25,0
42/13a-A5Z,11695.5,65.59999847,2.684999943,0.296600014,0.0061,119.2797012,-999.25,-999.25,-999.25,0
42/13a-A5Z,11696,66.40000153,2.673700094,0.307000011,0.0079,117.2530975,-999.25,-999.25,-999.25,0
42/13a-A5Z,11696.5,65.59999847,2.694900036,0.318500012,0.0019,127.5818024,-999.25,-999.25,-999.25,0
42/13a-A5Z,11697,65.59999847,2.702800036,0.327300012,0.0005,136.0666962,-999.25,-999.25,-999.25,0
42/13a-A5Z,11697.5,67.19999695,2.735199928,0.328900009,0.0012,130.9759064,-999.25,-999.25,-999.25,0
42/13a-A5Z,11698,66.40000153,2.710599899,0.330199987,0.002,127.4481964,-999.25,-999.25,-999.25,0
42/13a-A5Z,11698.5,65.59999847,2.68659997,0.332100004,0.0011,131.0133057,-999.25,-999.25,-999.25,0
42/13a-A5Z,11699,65.59999847,2.641200066,0.335399985,0.0016,128.6539002,-999.25,-999.25,-999.25,0
42/13a-A5Z,11699.5,67.19999695,2.65989995,0.338800013,0.0012,130.9239044,-999.25,-999.25,-999.25,0
